0,0114K,Rafli,4000,SALDO AWAL,,2014-01-01,138100,0,Saldo Awal,1,2014
1,0114B,Rafli,4000,SALDO AWAL,,2014-01-01,1448157,0, Saldo awal ,1,2014
1,1160,Rafli,4600,INFAQ DARI DONATUR TETAP,,2014-01-02,3750000,0,Setoran kliring Bpk. Aun,1,2014
0,1163,Rafli,4300,INFAQ DARI CELENGAN RENOVASI,,2014-01-03,245000,0,Hasil infaq celengan renovasi tgl 3,1,2014
0,1162,Rafli,5108,,KONSUMSI,2014-01-03,0,14000,Konsumsi Ust. Tahsin & Tahfidz,1,2014
0,1163,Rafli,4200,INFAQ DARI CELENGAN JUMAT,,2014-01-03,4567000,0,Hasil infaq celengan jum'at tgl 3,1,2014
0,1162,Rafli,5106,,DAKWAH,2014-01-03,0,300000,Transport Ust. Tahsin & Tahfidz,1,2014
0,1162,Rafli,5102,,INSENTIF,2014-01-03,0,100000,Insentif pengatur shaff,1,2014
0,1161,Rafli,4500,PEMASUKAN LAIN-LAIN,,2014-01-03,1500000,0,Pinjaman Bpk. Abdurrahman ,1,2014
0,1162,Rafli,5106,,DAKWAH,2014-01-03,0,300000,Transport khotib jum'at tgl 3,1,2014
0,1166,Rafli,5106,,DAKWAH,2014-01-06,0,100000,Transport Ust. Tahsin & Tahfidz,1,2014
0,1166,Rafli,5106,,DAKWAH,2014-01-06,0,2500000,Pembayaran jasa penyiaran radio ,1,2014
0,1166,Rafli,5112,,BIAYA LAIN-LAIN,2014-01-06,0,1500000,Bayar pinjaman Bpk Abdurrahman B.,1,2014
0,1165,Rafli,1101,TARIKAN TUNAI,,2014-01-06,4000000,0,Tarikan tunai (ATM),1,2014
0,1164,Rafli,1102,,SETORAN BANK,2014-01-06,0,245000,Setoran ke bank hasil celengan renovasi ,1,2014
0,1164,Rafli,1102,,SETORAN BANK,2014-01-06,0,4567000,Setoran ke bank hasil celengan jum'at ,1,2014
1,1165,Rafli,1101,,TARIKAN TUNAI,2014-01-06,0,4000000,Tarikan tunai (ATM),1,2014
1,1164,Rafli,1102,SETORAN BANK,,2014-01-06,245000,0,Setoran ke bank hasil celengan renovasi ,1,2014
